state,district,n_teaminc,n_perinc,n_splform,n_sdreport,structuressub,n_mintest,n_minmeds,inputssub,n_jasestb,n_jasmtg,n_cbac,n_abha,communitysub,n_nqas,n_kayakalp,qasub,capacity,n_anc4,n_facilitybirth,n_c_fpunmet,n_fpcounseling,fpreproductivesub_sd,n_hbnc,n_breastfed,n_fullimmun,neonatalchildsub,n_footfall,n_teleconsult,opdsub,n_htnscreen,n_oralscreen,n_cervicalscreen,n_dmcontrol,n_htncontrol,ncdsub_sd,servicedelivery,n_c_anemia,n_c_stunted,fpreproductivesub_im,n_tbtrt,n_c_diarrhea,n_c_ari,communicablesub,n_c_htnf,n_c_htnm,n_c_dmf,n_c_dmm,ncdsub_im,impact,cphcindex,teaminc,perinc,splform,sdreport,mintest,minmed,jasestb,jasmtg,cbac,abha,nqas,kayakalp,anc4,facilitybirth,hbnc,breastfed,fullimmun,fpunmet,fpcounseling,footfall,teleconsult,htnscreen,oralscreen,cervicalscreen,dmcontrol,htncontrol,anemia,stunted,tbtrt,diarrhea,ari,htnf,htnm,dmf,dmm
1,Devbhoomi Dwarka,0.2036,0.1796,0.8626,0.0719,0.329425,0.1018,0.74,0.4209,0.748503,0.0479,0.4012,0.22,0.35440075,0.15,0.1,0.125,0.307431438,0.766,0.948,0.841,0.335,0.7225,1,0.558,0.733,0.763666667,0.1555748,0.9651506,0.5603627,0.1458,0.4865,0.4388,0.229125,0.2255,0.305145,0.587918592,0.512,0.698,0.605,0.181,0.909,1,0.696666667,0.819,0.827,0.865,0.865,0.844,0.715222222,0.536857417,20.36,17.96,86.26,7.19,10.18,74,74.85,4.79,40.12,22,12,10,76.6,94.8,100.8849558,55.8,73.3,15.9,33.5,0.39616474,0.057,14.58,48.65,43.88,18.33,18.04,48.8,30.2,18.1,9.1,0,18.1,17.3,13.5,13.5
1,Gandhinagar,0.3191,0.3138,0.7447,0.1064,0.371,0.0479,0.61,0.32895,0.7021276,0.0479,0.3351,0.33,0.3537819,0.2375,0.2795699,0.25853495,0.328066713,0.71,0.978,0.815,0.169,0.668,0.986555,0.378,0.777,0.713851667,0.1234392,0.3520697,0.23775445,0.1642,0.5826,0.5466,0.5575,0.073375,0.384855,0.501115279,0.308,0.619,0.4635,0.239,0.85,0.996,0.695,0.761,0.707,0.815,0.813,0.774,0.644166667,0.491116219,31.91,31.38,74.47,10.64,4.79,61,70.21,4.79,33.51,33,19,28,71,97.8,98.65550482,37.8,77.7,18.5,16.9,0.32806221,0.02181544,16.42,58.26,54.66,44.6,5.87,69.2,38.1,23.9,15,0.4,23.9,29.3,18.5,18.7
1,Gir Somnath,0.2344,0.1818,0.7857,0.0957,0.3244,0.0574,0.98,0.5187,0.8086125,0.0048,0.4498,0.3395,0.400678125,0.0875,0.1298077,0.10865385,0.338107994,0.807,0.871,0.876,0.24,0.6985,1,0.376,0.699,0.691666667,0.1309529,0.3373345,0.2341437,0.1553,0.6203,0.5384,0.195375,0.090875,0.32005,0.486090092,0.504,0.556,0.53,0.14,0.901,0.993,0.678,0.86,0.877,0.868,0.858,0.86575,0.69125,0.505149362,23.44,18.18,78.57,9.57,5.74,98,80.86,0.48,44.98,33.95,7,13,80.7,87.1,102.3305085,37.6,69.9,12.4,24,0.34398547,0.02096979,15.53,62.03,53.84,15.63,7.27,49.6,44.4,14,9.9,0.7,14,12.3,13.2,14.2
1,Jamnagar,0.3427,0.3185,0.7643,0.2621,0.4219,0,0.88,0.44,0.9233871,0.0323,0.3669,0.1844,0.376746775,0.15,0.1882845,0.16914225,0.351947256,0.738,0.965,0.98,0.608,0.82275,0.8442649,0.446,0.784,0.691421633,0.1324213,0.4982775,0.3153494,0.1089,0.3084,0.195,0.269,0.3965,0.25556,0.521270258,0.494,0.716,0.605,0.181,0.96,0.979,0.706666667,0.819,0.85,0.8469999,0.845,0.840249975,0.717305547,0.530174354,34.27,31.85,76.43,26.21,0,88,92.34,3.23,36.69,18.44,12,18.8,73.8,96.5,84.4264843,44.6,78.4,2,60.8,0.34709731,0.03020627,10.89,30.84,19.5,21.52,31.72,50.6,28.4,18.1,4,2.1,18.1,15,15.3,15.5
1,Junagadh,0.3385,0.3113,0.7878,0.0623,0.374975,0.1128,0.86,0.4864,0.6381323,0.0195,0.3113,0.1991,0.292008075,0.125,0.019305,0.0721525,0.306383894,0.725,0.974,0.862,0.265,0.7065,0.9895049,0.325,0.935,0.749834967,0.0892841,0.2609597,0.1751219,0.0889,0.3133,0.2826,0.433625,0.09925,0.243535,0.468747967,0.412,0.627,0.5195,0.233,0.925,0.985,0.714333333,0.767,0.792,0.815,0.807,0.79525,0.676361111,0.483830991,33.85,31.13,78.78,6.23,11.28,86,63.81,1.95,31.13,19.91,10,1.9,72.5,97.4,98.95049505,32.5,93.5,13.8,26.5,0.25567985,0.01658666,8.89,31.33,28.26,34.69,7.94,58.8,37.3,23.3,7.5,1.5,23.3,20.8,18.5,19.3
1,Kachchh,0.2319,0.2422,0.5128,0.2484,0.308825,0.0642,0.8,0.4321,0.805383,0.0062,0.4099,0.1946,0.35402075,0.0125,0.1593626,0.0859313,0.295219263,0.842,0.974,0.922,0.361,0.77475,0.9715847,0.432,0.702,0.701861567,0.0209772,0.2390789,0.13002805,0.1399,0.408,0.306,0.1785,0.028375,0.212155,0.454698654,0.42,0.625,0.5225,0.191,0.9680001,0.995,0.718000033,0.809,0.818,0.871,0.866,0.841,0.693833344,0.48125042,23.19,24.22,51.28,24.84,6.42,80,80.54,0.62,40.99,19.46,1,15.9,84.2,97.4,97.15846995,43.2,70.2,7.8,36.1,0.11092221,0.01533093,13.99,40.8,30.6,14.28,2.27,58,37.5,19.1,3.2,0.5,19.1,18.2,12.9,13.4
1,Kheda,0.2914,0.2947,0.7576,0.3808,0.431125,0.1722,0.97,0.5711,0.7715232,0.0331,0.2682,0.2299,0.3256808,0.225,0.1859649,0.20548245,0.383347063,0.612,0.952,0.835,0.138,0.63425,1,0.258,0.69,0.649333333,0.051406,0.2465827,0.14899435,0.1543,0.5065,0.4202,0.075875,0.07775,0.246925,0.419875671,0.238,0.627,0.4325,0.24,0.859,0.985,0.694666667,0.76,0.755,0.84,0.818,0.79325,0.640138889,0.481120541,29.14,29.47,75.76,38.08,17.22,97,77.15,3.31,26.82,22.99,18,18.6,61.2,95.2,118.2179297,25.8,69,16.5,13.8,0.17540769,0.01576157,15.43,50.65,42.02,6.07,6.22,76.2,37.3,24,14.1,1.5,24,24.5,16,18.2
1,Mahesana,0.2291,0.1709,0.6995,0.4,0.374875,0,0.82,0.41,0.9563636,0.0182,0.2509,0.3778,0.4008159,0.025,0.1521739,0.08858695,0.318569463,0.566,0.973,0.816,0.209,0.641,0.8742397,0.328,0.796,0.6660799,0.0660962,0.4385806,0.2523384,0.1321,0.4558,0.4085,0.1235,0.070125,0.238005,0.449355825,0.305,0.69,0.4975,0.226,0.854,0.995,0.691666667,0.774,0.73,0.806,0.784,0.7735,0.654222222,0.47404917,22.91,17.09,69.95,40,0,82,95.64,1.82,25.09,37.78,2,15.2,56.6,97.3,87.42396594,32.8,79.6,18.4,20.9,0.2065396,0.02678028,13.21,45.58,40.85,9.88,5.61,69.5,31,22.6,14.6,0.5,22.6,27,19.4,21.6
1,Mahisagar,0.0444,0.0489,0.8277,0.4222,0.3358,0.0133,0.8,0.40665,0.9866667,0.0044,0.0978,0.1711,0.314991675,0.0375,0.0233645,0.03043225,0.271968481,0.766,0.93,0.932,0.443,0.76775,1,0.215,0.8,0.671666667,0.0801407,0.7661318,0.42313625,0.1728,0.5672,0.4231,0.119,0.14475,0.28537,0.536980729,0.268,0.566,0.417,0.163,0.856,0.991,0.67,0.837,0.853,0.877,0.869,0.859,0.648666667,0.485871959,4.44,4.89,82.77,42.22,1.33,80,98.67,0.44,9.78,17.11,3,2.3,76.6,93,100,21.5,80,6.8,44.3,0.23630296,0.04557836,17.28,56.72,42.31,9.52,11.58,73.2,43.4,16.3,14.4,0.9,16.3,14.7,12.3,13.1
1,Morbi,0.4064,0.3927,0.796,0.8356,0.607675,0.1598,1,0.5799,0.977169,0.0183,0.2694,0.2656,0.38261725,0.1625,0.2283105,0.19540525,0.441399375,0.751,0.948,0.898,0.444,0.76025,1,0.471,0.642,0.704333333,0.1632639,0.693087,0.42817545,0.2104,0.6979,0.6446,0.08925,0.11025,0.35048,0.560809696,0.493,0.671,0.582,0.184,0.9630001,0.991,0.7126667,0.816,0.849,0.822,0.813,0.825,0.706555567,0.569588213,40.64,39.27,79.6,83.56,15.98,100,97.72,1.83,26.94,26.56,13,22.8,75.1,94.8,109.1812081,47.1,64.2,10.2,44.4,0.41245979,0.04138634,21.04,69.79,64.46,7.14,8.82,50.7,32.9,18.4,3.7,0.9,18.4,15.1,17.8,18.7
